Date,return_AAPL,return_AMZN,return_EBAY,return_GOOGL,return_INTC,return_QCOM,return_SPY
2019/10/22,-0.002286757,-0.011161169,-0.008150765,-0.00247539,-0.002301995,-0.006457356,-0.003266709
2019/10/23,0.013418836,-0.002016127,0.00667699,0.013237234,-0.005575793,-0.015674818,0.002909585
2019/10/24,0.001644905,0.010560834,-0.091326579,0.001176801,0.009860769,0.022656655,0.001633954
2019/10/25,0.012316282,-0.010922221,0.006176334,0.00412201,0.080987919,0.0149386,0.004094986
2019/10/28,0.010017049,0.008942106,0.002790151,0.019520628,0.005313479,0.035923725,0.005636545
2019/10/29,-0.023127934,-0.008086296,0.004730162,-0.021970819,-0.007399542,-0.016736893,-0.000296726
2019/10/30,-0.000123293,0.009803104,-0.00692329,3.17E-05,0.004614803,-0.002694122,0.00306726
2019/10/31,0.022609554,-0.001870772,-0.017010624,-0.001507022,-0.001236731,-0.012278978,-0.002663339
2019/11/1,0.028380817,0.008318928,0,0.01068474,-0.000353812,0.039035305,0.009263931
2019/11/4,0.006567086,0.00737959,0.004539007,0.013645105,0.019465635,0.018066451,0.004017704
2019/11/5,-0.001436878,-0.001634697,0.001976843,0.001419,-0.001041521,0.004348373,-0.001106146
2019/11/6,0.000427752,-0.003296835,0.000563698,-0.000332908,0.000868792,-0.00971217,0.000228014
2019/11/7,0.008513451,-0.0042155,-0.017183127,0.012339123,0.007812518,0.063216427,0.003516727
2019/11/8,0.002736862,-0.001297364,0.007165377,0.001576246,0.003789854,0.045009956,0.002466121
2019/11/11,0.007918797,-0.00796805,0.003130364,-0.008189435,0.001372885,-0.023290471,-0.001909743
2019/11/12,-0.000915408,0.003584216,-0.005106383,-0.00082422,-0.002570643,-0.009472942,0.002107975
2019/11/13,0.009581646,-0.013998884,-0.01226122,-0.00079394,-0.005326495,-0.005496317,0.000323644
2019/11/14,-0.006919439,0.000849913,0.009237876,0.010006303,-0.001381897,0.000110556,0.001455781
2019/11/15,0.011879347,-0.008611642,0.008867306,0.01863042,0.002594672,0.003647159,0.007236379
2019/11/18,0.005042143,0.007496473,-0.004820017,-0.010273462,0.005003468,-0.003633906,0.000737612
2019/11/19,-0.003032572,0.000148363,-0.001139516,-0.00549309,0.001716704,-0.027851502,-0.00028843
2019/11/20,-0.011641458,-0.004141974,-0.005704506,-0.008174663,-0.007712014,-0.026602956,-0.003718796
2019/11/21,-0.004483438,-0.006198729,0.002294836,-0.001321164,0.005526753,-0.005956575,-0.001608907
2019/11/22,-0.00087786,0.006346888,0.005151689,-0.004976365,-0.010477499,-0.002584914,0.002223876
2019/11/25,0.017533792,0.016107964,0.020785849,0.009252723,0.020829717,0.004712004,0.007750206
2019/11/26,-0.007808642,0.013022581,-0.002789345,0.005637071,0.001530369,-0.007738351,0.002265667
2019/11/27,0.013432169,0.012003778,0.002797147,-0.000662601,-0.00662146,0.002008815,0.00445754
2019/11/29,-0.002202793,-0.009738721,-0.009204966,-0.006127471,-0.007861887,-0.014740566,-0.003708676
2019/12/2,-0.011562193,-0.010661968,-0.017454899,-0.011678628,-0.006718329,-0.01316584,-0.008494744
2019/12/3,-0.017830072,-0.006533462,-0.004298051,0.004562175,-0.027575442,-0.022680353,-0.006706542
2019/12/4,0.008826286,-0.005237418,0.006330964,0.018690974,-0.000891742,0.01861504,0.006170257
2019/12/5,0.014671033,-0.011478433,-0.005147269,0.006080656,0.001071082,0.006213377,0.001797977
2019/12/6,0.01931623,0.00638904,0.002012072,0.009367317,0.0130171,0.014892893,0.009134049
2019/12/9,-0.014000148,-0.001193175,-0.008319019,0.002687772,-0.004928745,0.013123336,-0.003144123
2019/12/10,0.005844448,-0.005887391,0.004339051,-7.44E-05,0.001061401,-0.009420573,-0.001115095
2019/12/11,0.00852941,0.005468006,0.005760282,0.00101273,0.008482064,0.034117866,0.002838688
2019/12/12,0.002548303,0.006639133,0.011168471,0.003154168,0.008410706,0.023680941,0.008619019
2019/12/13,0.013593163,0.000346517,0.004814472,-0.00120134,0.004170322,-0.013700179,0.00059913
2019/12/16,0.017117907,0.004696367,-0.002254735,0.010268219,-0.001557363,0.006831356,0.006870014
